개방자치단체코드,관리번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3640000,202636400000900166,2022-47,방범용,기타,중동 61-8,대전광역시 동구 중동 61-8,대전광역시 동구 중동 61-8,36.3314,127.4302,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900167,2022-48,방범용,기타,대전로807번길 47(중동 26-7),대전광역시 동구 대전로807번길 47,대전광역시 동구 중동 26-7,36.3307,127.4299,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900168,2022-49,방범용,기타,정동 1-113,대전광역시 동구 정동 1-113,대전광역시 동구 정동 1-113,36.3282,127.4359,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900169,2022-50,방범용,기타,창조2길 9(원동 31-9),대전광역시 동구 창조2길 9,대전광역시 동구 원동 31-9,36.3276,127.4354,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900170,2022-137,방범용,기타,대전로 813번길 1 (정동 26),대전광역시 동구 대전로 813번길 1,대전광역시 동구 정동 26,36.3321,127.4322,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900171,2022-138,방범용,기타,태전로 26(중동 8-7),대전광역시 동구 태전로 26,대전광역시 동구 중동 8-7,36.3321,127.4309,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900172,2022-139,방범용,기타,태전로 825번길 4(정동 31-28),대전광역시 동구 태전로 825번길 4,대전광역시 동구 정동 31-28,36.3332,127.4313,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900062,관광-4호,방범용,화장실,세천동 공공공지,대전광역시 동구 옥천로653번길 33,대전광역시 동구 세천동 97-3,36.2045,127.2934,단방향,Y,N,N,경보등+경보음,2017,2025-10-24,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900063,환경-5호,방범용,화장실,고산사,대전광역시 동구 대성동 4-2,대전광역시 동구 대전로316번길 201,36.1801,127.2822,단방향,Y,N,N,경보등+경보음,2020,2025-10-24,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900064,하천변-7호,방범용,화장실,대전천디딜방아화장실,,대전광역시 동구구도동 164-18,36.1624,127.2822,단방향,Y,N,N,경보등+경보음,2021,2025-10-24,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900065,하천변-6호,방범용,화장실,대전천(동서교),,대전광역시 동구 소제동 302-2,36.1959,127.2624,양방향,Y,N,N,경보등+경보음+음성인식,2020,2025-10-21,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900066,하천변-5호,방범용,화장실,2019,대전광역시 동구 대전천동로 463,대전광역시 동구 인동 352-11,36.1925,127.2608,단방향,Y,N,N,경보등+경보음,2019,2025-10-17,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900067,하천변-4호,방범용,화장실,목척교,대전광역시 동구 중동 318-3,대전광역시 동구 대전천동로 541,36.1945,127.2554,양방향,Y,N,N,경보등+경보음,2025,2025-10-17,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900068,하천변-3호,방범용,화장실,야외화장실(초지공원앞),대전광역시 동구 대전로 95,대전광역시 동구 낭월동 288-80,36.1636,127.2755,양방향,Y,N,N,경보등+경보음+음성인식,2020,2025-10-17,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
