개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3640000,202636400000800323,대전광역시 동구청,대전광역시 동구 계족로140번길 191-1,대전광역시 동구 용운동 431-4,생활방범,2,,,,,042-251-4175,36.3283,127.454,2026-05-20,,2026-05-24 22:28:20,2026-05-23 08:28:42
3640000,202636400000800618,대전광역시 동구청,대전광역시 동구 옥천로 610-12,대전광역시 동구 세천동 70,어린이보호,2,,,,,042-251-4175,36.3412,127.492,2026-05-20,,2026-05-24 22:28:23,2026-05-23 08:28:44
3640000,202636400000800619,대전광역시 동구청,대전광역시 동구 천개동로 32,대전광역시 동구 추동 472-1,어린이보호,2,,,,,042-251-4175,36.3733,127.473,2026-05-20,,2026-05-24 22:28:23,2026-05-23 08:28:44
3640000,202636400000800620,대전광역시 동구청,대전광역시 동구 산내로 1292,대전광역시 동구 낭월동 632,어린이보호,2,,,,,042-251-4175,36.2798,127.469,2026-05-20,,2026-05-24 22:28:23,2026-05-23 08:28:44
3640000,202636400000800621,대전광역시 동구청,대전광역시 동구 산내로 509,대전광역시 동구 상소동 662-1,어린이보호,2,,,,,042-251-4175,36.2278,127.448,2026-05-20,,2026-05-24 22:28:23,2026-05-23 08:28:44
3640000,202636400000800622,대전광역시 동구청,대전광역시 동구 동대전로256번길 53,대전광역시 동구 가양동 170-9,어린이보호,2,,,,,042-251-4175,36.3452,127.449,2026-05-20,,2026-05-24 22:28:23,2026-05-23 08:28:44
3640000,202636400000800623,대전광역시 동구청,대전광역시 동구 가양로 61,대전광역시 동구 가양동 336-1,어린이보호,2,,,,,042-251-4175,36.3415,127.441,2026-05-20,,2026-05-24 22:28:23,2026-05-23 08:28:44
3640000,202636400000800324,대전광역시 동구청,대전광역시 동구 신상동 642-1,대전광역시 동구 신상동 642-1,생활방범,2,,,,,042-251-4175,36.3522,127.514,2026-05-20,,2026-05-24 22:28:20,2026-05-23 08:28:42
3640000,202636400000800325,대전광역시 동구청,대전광역시 동구 대성동 131,대전광역시 동구 대성동 131,생활방범,1,,,,,042-251-4175,36.3025,127.459,2026-05-20,,2026-05-24 22:28:20,2026-05-23 08:28:42
3640000,202636400000800635,대전광역시 동구청,대전광역시 동구 계족로475번길 20-3,대전광역시 동구 용전동 158-21,생활방범,1,,,,,042-251-4175,36.3544,127.431,2026-05-20,,2026-05-24 22:28:23,2026-05-23 08:28:44
3640000,202636400000800636,대전광역시 동구청,대전광역시 동구 성남로28번길 639,대전광역시 동구 성남동 209-5,생활방범,2,,,,,042-251-4175,36.3461,127.431,2026-05-20,,2026-05-24 22:28:23,2026-05-23 08:28:44
